Item,policy_cluster,inventory_model,SS,ROP,EOQ,s,S,production_level
500315,MTS,EOQ-ROP,1398.48,1952.4,2731.47,1952.4,4683.87,finished_products
500316,Dynamic,"(s,S)",2670.35,2904.46,1775.78,2904.46,4680.25,finished_products
500317,Dynamic,"(s,S)",4050.34,4305.15,1852.6,4305.15,6157.75,finished_products
500318,Dynamic,"(s,S)",4079.72,4267.53,1590.53,4267.53,5858.06,finished_products
500319,MTS,EOQ-ROP,3158.11,3923.93,3211.72,3923.93,7135.65,finished_products
500347,MTO,,0.0,0.0,0.0,0.0,0.0,raw_material
500350,MTO,,0.0,0.0,0.0,0.0,0.0,raw_material
500351,Dynamic,"(s,S)",8603.24,9018.23,2364.24,9018.23,11382.47,finished_products
500353,Dynamic,"(s,S)",4028.24,4388.79,2203.71,4388.79,6592.5,finished_products
500355,MTO,,0.0,0.0,0.0,0.0,0.0,raw_material
500356,MTO,,0.0,0.0,0.0,0.0,0.0,raw_material
500357,Dynamic,"(s,S)",446.47,469.32,554.8,469.32,1024.12,finished_products
500359,MTO,,0.0,0.0,0.0,0.0,0.0,raw_material
500368,MTS,EOQ-ROP,1652.38,2392.74,3157.88,2392.74,5550.63,finished_products
500370,Dynamic,"(s,S)",1494.02,1576.54,1054.24,1576.54,2630.77,finished_products
500371,MTS,EOQ-ROP,3342.16,5016.17,4748.44,5016.17,9764.61,finished_products
500372,Dynamic,"(s,S)",5070.96,5458.9,2285.87,5458.9,7744.77,finished_products
500373,MTS,EOQ-ROP,4389.08,5986.68,4638.8,5986.68,10625.47,finished_products
500374,MTS,EOQ-ROP,7207.18,11202.92,7336.19,11202.92,18539.11,finished_products
500375,MTS,EOQ-ROP,13278.27,20362.73,9768.45,20362.73,30131.18,finished_products
500376,MTS,EOQ-ROP,8306.32,12217.35,7258.02,12217.35,19475.37,finished_products
500378,MTS,EOQ-ROP,13303.49,20510.14,9852.33,20510.14,30362.48,finished_products
500379,MTS,EOQ-ROP,5138.81,7070.13,5100.33,7070.13,12170.46,finished_products
500380,MTS,EOQ-ROP,11688.64,17102.96,8539.73,17102.96,25642.69,finished_products
500381,MTS,EOQ-ROP,8914.26,11339.41,5715.34,11339.41,17054.75,finished_products
500382,MTS,EOQ-ROP,2974.5,4217.1,4091.08,4217.1,8308.19,finished_products
500383,MTS,EOQ-ROP,16534.28,22277.1,8794.98,22277.1,31072.08,finished_products
500384,MTS,EOQ-ROP,3516.36,4957.91,4406.44,4957.91,9364.35,finished_products
500385,MTS,EOQ-ROP,10287.69,15327.75,8239.3,15327.75,23567.05,finished_products
500386,MTS,EOQ-ROP,7170.18,11238.0,7402.07,11238.0,18640.08,finished_products
500387,MTS,EOQ-ROP,2703.54,3682.6,3631.42,3682.6,7314.02,finished_products
500388,MTS,EOQ-ROP,2753.03,3715.89,3601.25,3715.89,7317.14,finished_products
500389,MTO,,0.0,0.0,0.0,0.0,0.0,raw_material
500390,MTS,EOQ-ROP,5111.84,7224.26,5334.12,7224.26,12558.38,finished_products
500391,MTS,EOQ-ROP,11424.32,15513.34,7421.33,15513.34,22934.67,finished_products
500393,MTS,EOQ-ROP,3340.51,5052.34,4801.79,5052.34,9854.13,finished_products
500395,MTS,EOQ-ROP,9943.19,14637.9,7952.0,14637.9,22589.9,finished_products
500396,MTS,EOQ-ROP,5139.1,6902.92,4874.16,6902.92,11777.09,finished_products
500401,Dynamic,"(s,S)",10625.54,11482.29,3397.02,11482.29,14879.31,finished_products
500404,MTS,EOQ-ROP,9486.93,16385.24,9639.26,16385.24,26024.5,finished_products
500405,MTS,EOQ-ROP,3075.04,4947.17,5021.57,4947.17,9968.74,finished_products
500407,Dynamic,"(s,S)",9921.91,10376.72,2475.07,10376.72,12851.79,finished_products
500410,Dynamic,"(s,S)",3966.39,4197.44,1764.08,4197.44,5961.52,finished_products
500411,MTS,EOQ-ROP,4560.6,5808.89,4100.43,5808.89,9909.32,finished_products
500412,Dynamic,"(s,S)",4291.99,4652.04,2202.19,4652.04,6854.22,finished_products
500413,Dynamic,"(s,S)",3101.1,3306.65,1663.93,3306.65,4970.58,finished_products
500415,Dynamic,"(s,S)",958.27,1005.04,793.69,1005.04,1798.73,finished_products
500416,MTS,EOQ-ROP,4172.08,5974.42,4927.09,5974.42,10901.52,finished_products
